tweet,label
"– Anggota Fraksi PDIP DPRD DKI Jakarta, Gilbert Simanjuntak menyoroti sikap Partai Nasdem yang mend  #berita #politik   https://t.co/Z15EPP292G",pro
@GeiszChalifah @bpkri bantu @KPK_RI hitung kerugian Keuangan negara dlm kasus korupsi Bansos Juliari kader PDIP ! @PPATK umumkan korupsi bansos mengalir kemana saja ?,kontra
Ketua Bappilu PDIP Bambang Pacul menyinggung tata krama PSI lantaran mencapreskan Gubernur Jateng Ganjar Pranowo. PSI merespons balik.    https://t.co/dUH0O3sw9d,pro
"Kini PDIP Maluku Punya Mesin Politik Baru Bernama Ibrahim Ruhunussa, Simak Profi   https://t.co/HKtsAFQdVL",kontra
@JulBayur3 Berarti Soekarno Ajaran nya kurang Ajar dong ? Melawan Pancasila !! Waduh anda menghina megawati PDIP acara tdk langsung !,pro
"Elektabilitas PDIP Tertinggi, Responden Pemilih Gerindra Paling Solid  https://t.co/gCBTBErLA7",kontra
@moonareas wow,pro
"@Vivittts Psi gw maren juga pilih di dprd, kalo dpr ya pdip😂😂😂. Gw ketawain sih pas 1999 milih pannya amien rais, berasa diprank dan berasa sampe sekarang keselnya😂😂😂",kontra
Gilbert-PDIP Kritik Nasdem Capreskan Anies: Intervensi Tak Kasat Mata  https://t.co/ClinFkGfQ6,pro
@GratisTerbaik @Se40820888Rendi *ITU KAN KATA LAWAN ANIS*  yg penting warga NKRI harus  waspada &amp; ngerti stlh di pimpin jokowi yg ternyata jiwanya PKI. orgnya bilang bukan PKI. tapi faktanya rakyat paham semua &amp; tdk mau hal ini terjadi lagi. boleh jadi kader pdip gk kan laku.           bagi akal sehat,kontra
"@yaya__nh Cerdas donk, Mba. Segmen suara PDIP dgn PSI itu byk beririsan. Deklarasi kemarin buat ambil kantong suara PDIP pendukung Ganjar dan suara kontra Anies.😁",pro
"@DS_yantie @NasDem Gw pikir nasdem partai yang akan menghidupkan dan dapat membanggakan kebangsaan Indonesia, biuuuuh ternyata, rasa kebangsaan itu harus terlego oleh kepentingan duit. Biuuuuuh. Apakah hanya PDIP dan PSI yang kukuh kebangsaan nya?",kontra
@MuhaiminBinIrin @geloraco Mana mau pdip kbgian wapres.. orng partai angkuh,pro
@psi_id @grace_nat PDIP / Puan Maharani pasti mendukung 1000 %,pro
"Setelah Nasdem Deklarasi Capres, PDIP Diyakini Bakal Pilih Ganjar untuk Imbangi Popularitas Anies  https://t.co/2RgGrKMO9l",kontra
Anggota DPRD DKI Jakarta Fraksi PDIP Gilbert Simanjuntak mengkritisi deklarasi Gubernur DKI Jakarta Anies Baswedan sebagai capres 2024 yang dilakukan oleh Partai Nasdem. #capres2024 #nasdem   https://t.co/UntiRXS7dr,pro
@abu_waras Amies Zizieq bisa Menang. Kalau PDIP ngotot PUAN.  Kalau mereka solid GP.. Wassalam Penyamun2 Berkedok Agama..  Tkb  https://t.co/JzoUCVUF6f,kontra
